Number_of_Gates,Maximum_Path_Delay,Slack,Operating_Frequency,Fanout,Timing_Violation
16295,3.510984144049374,-1.27034217771451,340.11509449044775,2,1
1360,10.871948037987886,-9.83137077892616,555.3332201317545,7,1
5890,7.3724078842711895,-5.896856436481388,799.9551190610138,3,1
12464,10.348648282444142,-8.699139152631929,872.4906449909722,3,1
11784,12.723139116782109,-12.346435020683414,860.3776768694577,5,1
6765,3.3761980000769243,-0.47532505644461576,423.708005100761,3,1
17350,1.2680281519557135,0.14251008549030733,718.5109091146146,2,0
4926,11.907436209541014,-8.740650401356046,381.55077777179804,9,1
14923,9.535763952136623,-3.111551253180033,154.81498891166444,2,1
11863,10.794953974709705,-10.688868361719802,731.4087390426481,2,1
16523,12.734169649840997,-3.6227596879418114,108.84479731280906,8,1
8822,12.239353087543007,-9.573735208371879,468.2643287126397,9,1
2185,14.452882057003546,-12.37731380444821,396.44134237186813,7,1
1269,8.503091103929656,-7.315934014043603,724.0397846669672,3,1
2933,7.838938857238675,-6.6605751387393095,789.620925484341,9,1
5811,6.626420798470221,-5.400128288417879,373.68517237415546,3,1
5551,3.1516745998188638,-1.111855150034143,830.4643130003682,5,1
6920,9.016501260348313,-6.723893665644903,364.5250844544404,9,1
18068,4.878175340563703,-2.632059648149495,501.6937239879051,3,1
6896,13.898305170981656,-12.61595257743451,754.3166743127206,7,1
9166,9.164671259879366,-7.15393660593665,723.6282063023098,1,1
19442,9.299762527113542,-8.085235364888963,988.63162508098,4,1
18931,5.96894525227814,-2.7822052422661416,302.64492179433864,4,1
3247,1.7278509276879048,-0.7380046283484918,696.0861221856242,7,1
689,1.4444127152218407,0.4960246662824987,648.7137174481996,8,0
19618,6.926692018144765,-6.780679524421725,923.5886090410269,1,1
3505,2.1839152933613297,2.2931316808313924,240.72592748038755,5,0
2399,9.495857377561947,-8.757745996592568,776.6183472282397,7,1
1767,13.333622078955203,-11.072001492382773,611.4417546418915,4,1
18412,13.36080743126211,-10.399967378691656,347.19928280911483,4,1
11894,10.226635741851254,-8.007009767006108,526.9914227324566,4,1
4056,3.957245640621034,-1.418742107969265,400.398937362818,6,1
4390,13.081955639024208,-12.348828339978155,621.3820625096148,7,1
9338,13.405308094384914,-12.724685686577452,900.1005497331993,2,1
15002,3.753150189341422,-1.7839678260624727,612.3744859709818,5,1
11127,11.323965200789482,-9.744863249771715,668.5501764939256,4,1
9292,5.011273684979721,-2.6567153708389792,566.8730624032385,3,1
11055,12.236964372941015,-5.188307922295005,146.0489558009283,7,1
10753,14.961330598650438,-12.214422557466822,309.5727011884848,6,1
8933,1.4203640746114994,0.02389776310524877,542.8015564888744,7,0
10733,13.563122121073047,-10.874614373828127,379.2117553702343,5,1
11516,9.716827470381213,-7.080039121496909,263.5872379850748,6,1
3112,14.627356668307495,-11.98466736832672,553.7195577265945,5,1
16287,7.510133245369986,-4.728629358030609,390.5288141030653,7,1
